viable	emission	foils	thickness	span	chord	alpha	Cl	Cd	stress	stability
1	0.882565327537288	NACA4306	0.36	20	6	6	1.0864	0.0072	7704649.34604792	0.52282800610118
1	0.903299512929475	NACA4404	0.24	20	6	4	0.8897	0.00603	14196759.6439179	0.362655974417818
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	0.902255951997179	NACA4406	0.36	20	6	4	0.8996	0.00607	6379880.84656178	0.36982225074448
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.95771573620744	NACA2204	0.08	25	2	4	0.6334	0.0066	201127579.639114	0.184790905782252
0	0.945297719110005	NACA2204	0.08	25	2	6	0.8332	0.01808	264571359.891553	0.40300251155268
0	0.956969909354741	NACA2206	0.12	25	2	4	0.6454	0.0053	91083563.0628945	0.172453499739603
0	0.943725267495566	NACA2206	0.12	25	2	6	0.8585	0.0078	121157791.895716	0.285415024618351
0	0.957075568158874	NACA2304	0.08	25	2	4	0.6437	0.00718	204398204.947423	0.195394751155011
0	0.944104396145688	NACA2304	0.08	25	2	6	0.8524	0.01089	270668059.495391	0.321379082868927
0	0.956534843690667	NACA2306	0.12	25	2	4	0.6524	0.00632	92071454.2024052	0.187519756586188
0	0.943047808104364	NACA2306	0.12	25	2	6	0.8694	0.00792	122696079.52724	0.291717067221969
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.943855787194788	NACA2404	0.08	25	2	6	0.8564	0.01692	271938205.24619	0.398496820996944
0	0.955627421019884	NACA2406	0.12	25	2	4	0.667	0.00649	94131912.8648135	0.194556212405641
0	0.942177676776216	NACA2406	0.12	25	2	6	0.8834	0.00811	124671861.806261	0.300348709232593
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.939474054435183	NACA3204	0.08	25	2	6	0.9269	0.01851	294324524.104033	0.450426721469534
0	0.950686318120754	NACA3206	0.12	25	2	4	0.7465	0.00529	105351533.663543	0.208207480451069
0	0.937609487303436	NACA3206	0.12	25	2	6	0.9569	0.00801	135044718.771124	0.333585824724261
0	0.95054958319776	NACA3304	0.08	25	2	4	0.7487	0.00686	237739530.905912	0.228671173175177
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.949884554254103	NACA3306	0.12	25	2	4	0.7594	0.00617	107172075.906356	0.224160462452479
0	0.936639912394927	NACA3306	0.12	25	2	6	0.9725	0.00826	137246304.739177	0.34438493046066
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.937037686716367	NACA3404	0.08	25	2	6	0.9661	0.01621	306771952.461869	0.440596567038401
